ticker,empresa,id,cuit,url_empresa
,AGRONASAJA SRL,104380,30710712758,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710712758
,AGRONEA PRODUCCIONES S.R.L.,105473,30712129766,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712129766
,AGRONORTE SRL,103998,30547794482,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30547794482
,AGROPECUARIA LAS MARIAS SA,104441,30707100806,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707100806
,AGROTECNOLOGIA SALA S.A.,100144,30542790780,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30542790780
,AKRON S.A.,102475,30521840486,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30521840486
,ALBERTO J. OLIVERO E HIJOS SA,105712,30590762233,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30590762233
,ALDYL ARGENTINA SA,100091,30643077090,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30643077090
,ALIANZA SOCIEDAD DE GARANTIA RECIPROCA,104226,30712443487,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712443487
,ALMACITY S.A.,103883,30709023523,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709023523
,ALPARGATAS TEXTIL SOCIEDAD ANÓNIMA,100327,30716620472,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716620472
,ALTO REAL VIÑEDOS S.A.,102487,30711986525,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30711986525
,Aluar Aluminio Argentino,7,30522780606,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30522780606
,ALZ NUTRIENTES S.A.,104451,30714662992,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714662992
,ALZ Semillas SA,30293,30709878103,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709878103
,Angel Estrada y Cia.,261,30500235566,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500235566
,Anta del Dorado S.A.,31953,30550246771,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30550246771
,APACHE S.A.,106330,30504051524,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30504051524
,ARBITRA S.A. S. A.,106142,30678534214,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30678534214
,ARCOR SAIC,30415,30502793175,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30502793175
,ARG DE GRAAF S A,102857,33693298569,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33693298569
,ARGENPYMES SGR,31842,33714924139,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33714924139
,ARGENSUN  SOCIEDAD ANONIMA,102616,30640783199,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30640783199
,ARGENTINA CIUDAD S.G.R.,104899,30718083903,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30718083903
,Argentina Valores S.A.,31940,30714304115,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714304115
,ARMORAUT SA,106339,30707304886,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707304886
,ARROWWS ARGENTINA SRL,102806,30651671066,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30651671066
,ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,102771,30716684594,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716684594
,ASPRO SERVICIOS PETROLEROS S.A.,104405,30715595105,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715595105
,ASSERCA S.R.L.,105623,33710735609,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33710735609
,AUTOFERRO S. R. L.,106499,30715506897,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715506897
,Automotores Pampeanos S.A.,32233,33711986869,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33711986869
,Autopistas del Sol S.A.,3075,30677237119,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30677237119
,AUTOTRANSPORTES ANDESMAR S.A.,104433,30561785402,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30561785402
,AVAL AR SGR,31869,30715060953,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715060953
,AVAL FEDERAL SGR,31873,30708802979,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708802979
,AVAL FERTIL SGR,31844,30714824631,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714824631
,AVAL RURAL SGR,31845,30709061824,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709061824
,AVALES DEL CENTRO SGR,31872,30715434969,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715434969
,AVALUAR SGR,31846,30697281106,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30697281106
,BACS Banco de Crédito y Securitización S.A.,30386,30707227415,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707227415
,BALANZ CAPITAL VALORES S.A.U.,31557,30710630670,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710630670
,BANCO BBVA ARGENTINA S.A.,30485,30500003193,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500003193
,BANCO BICA SA,31957,30712331239,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712331239
,BANCO BMA S.A.U,30567,30580189411,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30580189411
,Banco CMF S.A.,32045,30576614299,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30576614299
,BANCO COINAG S.A.,100176,30714195960,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714195960
,"Banco Columbia S,A",30620,30517637498,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30517637498
,Banco Comafi S.A.,32133,30604731018,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30604731018
,BANCO CREDICOOP COOPERATIVO LIMITADO,30342,30571421352,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30571421352
,BANCO DE COMERCIO S.A.,31558,30542033637,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30542033637
,BANCO DE CORRIENTES S.A.,31507,30500010602,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500010602
,BANCO DE GALICIA Y BUENOS AIRES S.A.,30341,30500001735,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500001735
,BANCO DE INVERSIÓN Y COMERCIO EXTERIOR S.A.,30469,30651129083,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30651129083
,BANCO DE LA PAMPA S.A.,30622,30500012516,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500012516
,Banco de la Provincia de Buenos Aires,30474,33999242109,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33999242109
,Banco de la Provincia de Córdoba S.A.,31921,30999228565,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30999228565
,BANCO DE SAN JUAN S.A.,30381,30500009442,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500009442
,BANCO DE SANTA CRUZ S.A.,30382,30500098801,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500098801
,BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU,30220,30697265895,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30697265895
,Banco de Servicios y Transacciones S.A.U.,31958,30704960995,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30704960995
,Banco de Valores S.A.,30471,30576124275,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30576124275
,BANCO DEL SOL SA,104337,30677937560,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30677937560
,Banco Hipotecario S.A.,30421,30500011072,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500011072
,Banco Industrial S.A.,32197,30685029959,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30685029959
,Banco Julio S.A.,80485,30657441216,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30657441216
,Banco Macro SA,32118,30500010084,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500010084
,Banco Mariva S.A.,31989,30516420444,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30516420444
,Banco Meridian S.A.,30450,30534487491,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30534487491
,Banco Patagonia SA,30464,30500006613,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500006613
,BANCO PIANO SA,30398,30569151763,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30569151763
,BANCO PROVINCIA DEL NEUQUEN S.A.,30625,30500014047,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500014047
,BANCO SAENZ S.A.,30573,30534672434,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30534672434
,BANCO SANTANDER ARGENTINA S.A,30442,30500008454,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500008454
,Banco Supervielle S.A.,31890,33500005179,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33500005179
,BANCO VOII S.A.,31559,30546741636,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30546741636
,B-GAMING SA,32307,30709967424,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709967424
,BIAMAQ S.R.L.,105305,30713350407,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30713350407
,BIBANK S.A.,30624,30522714417,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30522714417
,BIO RAMALLO S.A.,104279,33711967589,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33711967589
,Bioetanol Rio Cuarto S.A.,32229,30709934313,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709934313
,BISORDI KREMAR SRL,105078,30641234601,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30641234601
,BLM DESARROLLOS SA,105620,30718221516,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30718221516
,Boldt,48,30500179151,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500179151
,Bolsas y Mercados Argentinos SA,31697,30715471953,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715471953
,BRAMIX S.R.L.,106432,30715115464,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715115464
,BUHL SOCIEDAD ANONIMA,100155,30637805149,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30637805149
,BUYATTI S A I C A,102555,30501684399,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30501684399
,C & C MEDICAL S SOCIEDAD ANONIMA,105061,30707174702,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707174702
,CABLEVISIÓN HOLDING S.A.,31827,30715591231,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715591231
,CAIMAN S.A.,104248,30707651675,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707651675
,Caja de Valores S.A.,30463,30554475910,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30554475910
,CALERAS SAN JUAN S A,104550,30700760681,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30700760681
,CALICO S A,106404,33596683679,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33596683679
,CALZETTA S.A.,32250,30615501995,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30615501995
,CAMPO AVAL SGR,31848,30708768924,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708768924
,Campo de Avanzada S.A.,32163,30713302208,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30713302208
,CAMPO FERTIL SOCIEDAD DE RESPONSABILIDAD LIMITADA,104006,30714327573,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714327573
,Camuzzi Gas del Sur S.A.,32151,30657864427,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30657864427
,Camuzzi Gas Pampeana S.A.,322,30657864281,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30657864281
,Capex S.A.,331,30629827060,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30629827060
,Carboclor S.A.(Ex. Sol Petroleo S.A.),5019,30504249227,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30504249227
,Carlos Casado,58,30525406756,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30525406756
,Carsa S.A.,30196,33572266449,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33572266449
,CASCIA S.R.L.,104457,30712094679,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712094679
,Castro S.A.,104487,30536633444,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30536633444
,CEDISUR S A,105027,30672812808,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30672812808
,Celulosa Argentina,61,30501062150,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30501062150
,CENTRAL COSTANERA S.A.,32100,30652254248,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30652254248
,Central Puerto,254,33650305499,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33650305499
,Central Termica Roca S.A.,30924,33711944899,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33711944899
,Central Urbana SA,30188,30525522381,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30525522381
,CENTRO DE REHABILITACION INTEGRAL LOS NOGALES SRL,105208,30715445405,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715445405
,CENTRO DESARROLLO AGRICOLA S.A.,104543,33708758529,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33708758529
,CENTRO TECNOLOGICO AGROPECUARIO S.A.,104215,30710099649,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710099649
,CERAMICA RUTA 16 SRL,100338,30710080085,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710080085
,CEREALERA PUNTANA S.R.L.,32193,30711515808,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30711515808
,CFA COMPAÑÍA FIDUCIARIA AMERICANA S.A,70356,30689001269,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30689001269
,CFN S.R.L.,30285,30641056177,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30641056177
,CHAYE HNOS SRL,104537,30708410051,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708410051
,Cia. Argentina de Comodoro Rivadavia,71,30526288412,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30526288412
,Cia. de Transporte de Energia Electrica,1018,30663148776,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30663148776
,Cia. General de Combustibles S.A.,296,30506733932,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30506733932
,Cia. Introductora de Bs.As.,78,30501290323,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30501290323
,CIRUGIA ALEMANA INSUMOS MEDICOS SOCIEDAD ANONIMA,102754,30709247650,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709247650
,CITRUSVIL S.A.,103954,30619458253,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30619458253
,CLADAN SA,102465,30707943617,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707943617
,CLIBA INGENIERIA URBANA S A,104330,30692332721,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30692332721
,CLISA,3007,30692239292,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30692239292
,CLORONOR S.A.,105267,30710855850,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710855850
,CLUB ATLETICO RIVER PLATE ASOC CIVIL,104965,30526748448,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30526748448
,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,100336,30714322938,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714322938
,COBON OTC S. A.,105654,33717821039,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33717821039
,COLGAS S. A.,106357,30642554421,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30642554421
,COLLINS SOCIEDAD ANONIMA,100140,33714669899,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33714669899
,COM & LOG SA,104465,30709318507,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709318507
,COMERCIAL Y GANADERA DEL NIRIHUAU S A,100253,30513210171,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30513210171
,COMPANIA INVERSORA INDUSTRIAL S.A.,102688,33711062489,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33711062489
,COMPAÑIA DE INSUMOS Y GRANOS S A,104511,30668299462,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30668299462
,Compañía Financiera Argentina S.A.,30368,30538006404,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30538006404
,COMPAÑÍA MEGA SOCIEDAD ANÓNIMA,100089,30696139888,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30696139888
,COMPAÑIA TSB S A,104887,30707810927,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707810927
,CONAVAL SGR,102651,30716480387,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716480387
,CONCI S.A,104276,30710796188,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710796188
,CONDOR OTC S.A.,105491,30718521447,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30718521447
,CONFEDERAR NEA SGR,31850,30712810404,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712810404
,CONFIABLES SGR,31851,30709422746,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709422746
,Construir S.A.,30246,30651863658,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30651863658
,Consultatio S.A.,30177,30587480359,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30587480359
,Continental Urbana S.A.,4005,30709130354,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709130354
,COOPERATIVA DE CRÉDITO Y VIVIENDA UNICRED LIMITADA,32275,30634713006,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30634713006
,CRE NOR SRL,105317,30709191930,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709191930
,CREAR S.G.R.,102792,30716256398,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716256398
,CREATIVE PMO INTERNATIONAL SOCIEDAD ANONIMA,104939,30714763225,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714763225
,CRECER SGR,31852,30711015805,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30711015805
,CREDES LAS BREÑAS S.R.L.,104331,30714056316,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714056316
,Credicuotas Consumo S.A.,32008,30710911580,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710911580
,Credito Directo S.A.,31228,30712101136,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712101136
,Cresud SACIF Y A,83,30509300700,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30509300700
,CROWE  AR  S.A,102626,30716351366,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716351366
,CROWN POINT ENERGIA S.A.,102552,30709346268,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709346268
,CT BARRAGAN S.A.,100428,30710911378,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710911378
,CUEROS Y CUERINAS S.R.L.,102551,30714165077,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30714165077
,CUMAR S.A.,31576,30712678506,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712678506
,CUYO AVAL SGR,31853,30709506281,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709506281
,DARUMA PAGOS S.A.,104709,30716155680,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716155680
,DATASTAR ARGENTINA S.A.,31893,30702024834,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30702024834
,Del Fabro Hnos y Cia S.A.,31986,30657040807,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30657040807
,DEMAGRO SRL.,104427,30707912673,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707912673
,DEPOSITO FISCAL CORDOBA S.A.,105351,33715757929,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33715757929
,DERENTAS SRL,106063,30717423980,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30717423980
,DESDELSUR S A,102477,30629401888,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30629401888
,DIAZ RIGANTI CEREALES S.A.,30683,30551518694,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30551518694
,DIEGO ZAMORA E HIJO S.R.L.,104369,30628029780,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30628029780
,DIESEL LANGE S R L,100312,33574441639,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33574441639
,DIRANSA SRL,102485,30605481627,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30605481627
,DISAL S.A.,30483,30621181838,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30621181838
,Distribuidora de Gas Cuyana,975,33657865589,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33657865589
,DOMAINE BOUSQUET S.A.,100080,30710213085,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710213085
,Domec Cia. de Artefactos Domesticos,85,30501999470,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30501999470
,DON MARIO SGR,31854,30708603844,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708603844
,Dos Banderas S.A.,100009,30712554114,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712554114
,DOSAM S.R.L.,32080,30591435562,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30591435562
,DROGUERIA CENTRAL S.A.S,105349,30716713438,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716713438
,Dulcor S.A.,30199,30547596826,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30547596826
,Ebucar S.A.,30263,30709033553,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709033553
,ECOFACTORY S.R.L.,104549,30711336105,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30711336105
,ECOGAS INVERSIONES S.A.,105391,30658275522,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30658275522
,ECOSUR BAHIA SOCIEDAD ANONIMA,104983,30505607925,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30505607925
,Edesa Holding S.A.,30297,30712506497,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712506497
,Edesal Holding S.A.,30298,30712506594,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712506594
,Edisur S.A.,5068,30709418943,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709418943
,EL HINOJO S.A.,104448,30710686013,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30710686013
,EL NORTE CORDOBES SRL,102808,30644961083,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30644961083
,El paso del Virrey S.A.,32273,30700099780,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30700099780
,Electromac,93,30561852908,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30561852908
,Emp. Distribuidora de Electricidad de Mendoza S.A.,452,30699542454,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30699542454
,Empresa Distribuidora de Electricidad de Salta S.A,3084,30690633635,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30690633635
,Empresa Distribuidora Sur S.A.,251,30655116512,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30655116512
,Empresa Distribuidora y Comercializadora Norte SA,2005,30655116202,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30655116202
,ESKABE S.A.,32212,30503339788,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30503339788
