cuit,empresa,n_eeff,n_dividendo,n_hecho_rel,n_acta,cotiza_probable
30714814229,TANGO ENERGY ARGENTINA S A,52,101,79,167,si
30712678506,CUMAR S A,51,16,57,79,si
30709878103,ALZ Semillas SA,50,53,74,110,si
30710630670,BALANZ CAPITAL VALORES S A U,50,5,104,185,si
30651863658,Construir S A,49,52,38,84,si
30592724541,Agrofina S A,47,58,162,194,si
30707807810,Ovoprot International S A,47,0,74,114,si
30712101136,Credito Directo S A,47,100,126,219,si
30641487267,Actual S A,45,5,117,99,si
30500098801,BANCO DE SANTA CRUZ S A,44,0,95,230,si
30658531332,Agroempresa Colón S A,44,70,62,121,si
30710911580,Credicuotas Consumo S A,44,85,72,190,si
33652607689,PETROLEOS SUDAMERICANOS SA,43,19,33,72,si
30688331761,GARANTIZAR SGR,42,0,238,5,si
30655942382,Plaza Logística S R L,41,88,117,209,si
30657864427,Camuzzi Gas del Sur S A,41,0,61,78,si
30569151763,BANCO PIANO SA,38,0,31,33,si
30589527115,SURCOS SOCIEDAD ANONIMA,36,82,87,145,si
30630720911,PETROAGRO S A,36,58,83,152,si
30708802979,AVAL FEDERAL SGR,36,0,10,0,si
30659151185,HIJOS DE SALVADOR MUÑOZ S A,35,25,57,92,si
30708609915,Garantías BIND SGR EX GARANTÍA DE VALORES SGR,35,0,51,0,si
30710820771,Gas y Petróleo del Neuquén S A,34,0,9,65,si
30714322938,CNH INDUSTRIAL CAPITAL ARGENTINA S A,34,20,27,98,si
30715046012,INTEGRA PYMES SGR,34,0,20,8,si
30682419578,Volkswagen Financial Services Compañía Financiera,33,45,39,87,si
30718288718,HOLDSAT S A,33,0,12,31,si
30692332721,CLIBA INGENIERIA URBANA S A,32,0,6,38,si
30696139888,COMPAÑÍA MEGA SOCIEDAD ANÓNIMA,32,1,66,106,si
30709506281,CUYO AVAL SGR,32,0,14,0,si
30714936901,POTENCIAR SGR,32,0,19,0,si
30708537272,Global Valores S A,31,0,44,139,si
30658275522,ECOGAS INVERSIONES S A,30,3,27,47,si
30619257487,TECNOMYL SA,29,18,23,78,si
30709934313,Bioetanol Rio Cuarto S A,29,0,35,23,si
30711015805,CRECER SGR,29,0,26,0,si
30712156909,REFI PAMPA S A,29,40,52,100,si
30715434969,AVALES DEL CENTRO SGR,29,0,11,0,si
30678224010,PLUSPETROL SA,28,7,15,41,si
30715039962,PYME AVAL SGR,28,0,37,5,si
30615368292,SIDERSA SA,27,2,15,59,si
33714924139,ARGENPYMES SGR,27,0,46,0,si
30654424698,PECOM SERVICIOS ENERGIA S A U,26,3,32,44,si
30691576511,PROFERTIL S A,26,22,44,119,si
30710911378,CT BARRAGAN S A,26,54,74,84,si
30709346268,CROWN POINT ENERGIA S A,25,43,47,116,si
30714195960,BANCO COINAG S A,25,0,11,31,si
30715399128,LUZ DE TRES PICOS S A,25,34,45,93,si
30677937560,BANCO DEL SOL SA,24,0,60,40,si
30716604612,MILLS S G R,24,0,9,7,si
33716492279,MOVIL SGR,24,0,19,0,si
33711986869,Automotores Pampeanos S A,23,24,8,40,si
30657441216,Banco Julio S A,21,0,0,10,si
30708587415,HECTOR A BERTONE S A,21,35,12,91,si
30711986525,ALTO REAL VIÑEDOS S A,21,8,3,42,si
30715659340,SAN BAUTISTA DEL SUR S A,21,6,20,62,si
30715207962,SCC POWER SAN PEDRO S A,20,21,10,69,si
30600615889,SPECIAL GRAINS S A,19,42,14,75,si
30697281106,AVALUAR SGR,19,0,14,15,si
30716219859,RESILIENCIA SGR,19,0,14,5,si
33708194919,SOLIDUM SGR,19,0,17,33,si
33709003459,FID AVAL SGR,19,0,30,18,si
33715184139,GENERACION LITORAL S A,19,25,41,75,si
30658840165,OLEODUCTOS DEL VALLE SOCIEDAD ANONIMA,18,34,54,111,si
30707943617,CLADAN SA,18,13,5,37,si
30711913439,PRESIDENT PETROLEUM S A,18,56,70,73,si
33715214569,UNION SGR,18,0,6,9,si
30646167775,Metalfor S A,17,19,24,41,si
30714304115,Argentina Valores S A,17,0,43,52,si
30714824631,AVAL FERTIL SGR,17,0,6,0,si
30708741775,PROMOVER SGR,16,0,8,7,si
30709377295,ACINDAR PYMES SGR,16,0,68,5,si
30714155128,MSU GREEN ENERGY S A,16,15,2,48,si
30714983284,FONDO DE GARANTIAS ENTRE RIOS S A C PART ESTATAL M,16,0,15,10,si
30709399426,AFFIDAVIT SGR,15,0,3,0,si
30716480387,CONAVAL SGR,15,0,10,7,si
30709422746,CONFIABLES SGR,14,0,20,10,si
30713322705,VITALCAN S A,14,24,7,50,si
33716680989,FINTECH S G R,14,0,4,6,si
30658839523,OTAMERICA EBYTEM S A,13,11,18,59,si
30684577073,FOGABA,13,0,4,20,si
30708430001,TECNOVAX S A,13,6,11,58,si
33708830599,Tresnal Agropecuaria S A,13,11,5,31,si
30708602791,VINCULOS SGR,12,0,18,20,si
30708603844,DON MARIO SGR,12,0,10,6,si
30709201219,PELAYO AGRONOMIA S A,12,28,22,65,si
30714160350,FOGACH,12,0,13,0,si
30634713006,COOPERATIVA DE CRÉDITO Y VIVIENDA UNICRED LIMITADA,11,0,1,28,si
30708768924,CAMPO AVAL SGR,11,0,7,7,si
30709667587,MINERA EXAR SA,11,1,16,49,si
30712443487,ALIANZA SOCIEDAD DE GARANTIA RECIPROCA,11,0,6,13,si
30716321149,RIG AVALES SGR,11,0,8,8,si
30716490587,NEUQUEN PYMES SGR,11,0,5,7,si
30709061824,AVAL RURAL SGR,10,0,1,0,si
30712257357,RDA Renting S A,10,33,10,35,si
30714395668,FOGAPLAR,10,0,0,0,si
30716256398,CREAR S G R,10,0,11,10,si
30716459809,FIDEM S G R,10,0,21,8,si
30717946681,FONDO DE GARANTIA CFI FIDEICOMISO,10,0,11,16,si
30707009892,PROSEIND SA,9,6,15,8,si
30716644622,TREND SGR,9,0,7,9,si
30717902471,FOGAJUY FIDEICOMISO PUBLICO,9,0,6,22,si
30503423347,TALLERES METALURGICOS CRUCIANELLI SA,8,5,4,24,si
30642555274,GeoPark Argentina SA,8,0,12,58,si
30677262466,MINAS ARGENTINAS S A,8,0,5,22,si
30690967541,PATAGONIAN FRUITS S A,8,18,15,33,si
30705458835,AFIANZAR SGR,8,0,10,11,si
30715652079,GARANTIA SAN JUAN SOCIEDAD ANONIMA CON PARTICIPACI,8,0,13,10,si
30538470895,TRADIMEX S A I y C,7,11,16,6,si
30540127251,RUTA 3 AUTOMOTORES S A,7,17,0,28,si
30550246771,Anta del Dorado S A,7,18,1,25,si
30678145366,SEGUFER S A,7,22,8,13,si
30693380835,Granville S A,7,33,5,25,si
30697172773,PARAMERICA S A,7,1,2,25,si
30709585939,TERRAGENE S A,7,26,5,39,si
30712810404,CONFEDERAR NEA SGR,7,0,9,14,si
33697235049,HAVANNA S A,7,2,0,11,si
33711217679,INSUGA CHACO S A,7,36,7,21,si
30501863129,RICARDO ALMAR E HIJOS SOCIEDAD ANONIMA,6,13,0,16,si
30513210171,COMERCIAL Y GANADERA DEL NIRIHUAU S A,6,17,16,47,si
30519527703,TERMOELECTRICA SA,6,17,5,39,si
30547794482,AGRONORTE SRL,6,12,1,25,si
30619780635,Promedon S A,6,12,5,27,si
30629401888,DESDELSUR S A,6,3,13,22,si
30663150614,LATIN AMERICA POSTAL SA,6,3,0,19,si
30698318895,RICARDO VENTURINO S A,6,32,9,39,si
30713701803,3D LATINOAMERICA S A,6,0,0,14,si
30714108235,LATITUD 45 PETROLEO Y GAS S A,6,8,17,33,si
30716574314,INNOVA S G R,6,0,31,5,si
30717023990,SCANIA CREDIT ARGENTINA S A U,6,4,3,34,si
30718350316,ZOFINGEN SOCIEDAD DE GARANTÍA RECÍPROCA,6,0,6,11,si
33669088499,PRO DE MAN SOCIEDAD ANONIMA,6,5,0,32,si
33714669899,COLLINS SOCIEDAD ANONIMA,6,0,4,16,si
33716030569,AB ENERGIA SA,6,0,0,16,si
30510968413,SUC DE GUSTAVO LAGERHEIM SA,5,8,0,19,si
30539301388,GARRO FABRIL SOCIEDAD ANONIMA,5,3,0,18,si
30557913463,VILLA NUEVA S A,5,4,3,12,si
30615341130,PETROSURCO SA,5,14,1,20,si
30654691726,RADIADORES PRATS S A,5,5,0,18,si
30660920451,GRUAS SAN BLAS S A,5,7,3,17,si
30707825010,Agro Ganadera Vidoret S A,5,14,14,8,si
30708658819,AGROIDEAS S A,5,14,1,27,si
30710253273,Villanueva e Hijos SA,5,14,12,14,si
30710685696,TRACE GROUP SOCIEDAD ANONIMA S A,5,0,3,18,si
30714165077,CUEROS Y CUERINAS S R L,5,14,10,17,si
30714470775,VALERZA S A,5,7,13,21,si
30715595105,ASPRO SERVICIOS PETROLEROS S A,5,0,0,24,si
30715744941,YACOPINI MIRAI S A,5,4,0,22,si
30716684594,ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,5,57,29,62,si
33716230029,FONDO DE GARANTIA PARA EL DESARROLLO FUEGUINO S A,5,0,5,7,si
30501684399,BUYATTI S A I C A,4,39,2,19,si
30516877223,LILIANA S R L,4,10,0,23,si
30526748448,CLUB ATLETICO RIVER PLATE ASOC CIVIL,4,0,0,10,si
30541416540,RATTO HNOS SA CFIA,4,0,0,25,si
30542790780,AGROTECNOLOGIA SALA S A,4,0,0,25,si
30585790822,FRIGORIFICO GENERAL PICO S A,4,0,0,20,si
30592486268,ZAFRA SA,4,7,0,25,si
30644961083,EL NORTE CORDOBES SRL,4,12,0,14,si
30658034800,MOLINOS SYTARI SRL,4,0,0,0,si
30675753365,ESTREMAR S A U,4,0,2,15,si
30691479400,RECARD S A,4,3,0,20,si
30691548364,Maxisur S A,4,8,3,0,si
30696748191,PUENTE NOGUEIRA SRL,4,3,0,13,si
30701518396,SHORTON ARGENTINA S R L,4,2,0,12,si
30702024834,DATASTAR ARGENTINA S A,4,3,0,19,si
30707418849,MERIDIANO NORTE S A,4,4,0,14,si
30707651675,CAIMAN S A,4,2,0,14,si
30707816410,FERRETERIA DEL NORTE S R L,4,4,0,14,si
30708059435,NESTOR GASTALDI E HIJOS S R L,4,2,4,8,si
30708630272,ORYZA SA,4,8,4,13,si
30708847247,EXPRESO LANCIONI S A,4,0,0,15,si
30709107891,HALPERN S R L,4,0,0,9,si
30709318507,COM LOG SA,4,6,0,30,si
30710080085,CERAMICA RUTA 16 SRL,4,1,2,9,si
30711075905,HIDROTEC S A,4,1,1,23,si
30712094679,CASCIA S R L,4,0,0,13,si
30712136355,PUERTO LAS PALMAS S A,4,8,9,5,si
30712285539,ESQUINA 3 S A,4,15,2,8,si
30714056316,CREDES LAS BREÑAS S R L,4,0,0,12,si
30714645842,MADECO ARGENTINA S A,4,0,2,13,si
30714662992,ALZ NUTRIENTES S A,4,0,0,21,si
30715207237,MIGUEL RAMIREZ E HIJO S R L,4,6,0,13,si
30716999498,MERCADO PAGO SERVICIOS DE PROCESAMIENTO S R L,4,4,10,27,si
30717090930,FIDEICOMISO DE GARANTIAS PAMPEANAS,4,0,7,15,si
30718083903,ARGENTINA CIUDAD S G R,4,0,8,7,si
33527801309,S A Miguel Campodónico Ltda,4,0,0,12,si
33574441639,DIESEL LANGE S R L,4,3,8,23,si
33711062489,COMPANIA INVERSORA INDUSTRIAL S A,4,17,0,28,si
33711316839,1 DE ABRIL SA,4,0,0,10,si
33712110959,ZUAMAR S A,4,10,0,27,si
33715363459,WETPAMPEAN HDRR SA,4,0,0,61,si
30503339788,ESKABE S A,3,7,0,24,si
30505607925,ECOSUR BAHIA SOCIEDAD ANONIMA,3,0,0,11,si
30516139451,GEORGALOS HNOS S A I C A,3,14,0,24,si
30536633444,Castro S A,3,0,0,13,si
30539081086,GASTALDI HNOS S A I Y C F E I,3,1,3,20,si
30545905791,SANATORIO CHACO S R L,3,0,0,10,si
30557902682,RIBOLDI S A,3,0,0,10,si
30561785402,AUTOTRANSPORTES ANDESMAR S A,3,0,0,17,si
30581320589,GENTE DE LA PAMPA S A,3,0,0,8,si
30590762233,ALBERTO J OLIVERO E HIJOS SA,3,0,0,9,si
30600725447,ROWING SA,3,0,0,7,si
30605481627,DIRANSA SRL,3,0,8,13,si
30619458253,CITRUSVIL S A,3,0,1,10,si
30628029780,DIEGO ZAMORA E HIJO S R L,3,0,0,11,si
30628910592,Agriseed S A,3,4,0,13,si
30637805149,BUHL SOCIEDAD ANONIMA,3,0,1,10,si
30640576428,GUALOK SRL,3,0,0,13,si
30640783199,ARGENSUN SOCIEDAD ANONIMA,3,12,3,12,si
30641234601,BISORDI KREMAR SRL,3,0,0,13,si
30647727545,SES SA,3,0,3,12,si
30653686222,SIERRAS DE MAZAN S A,3,0,0,10,si
30665193337,SILO CHICO S A,3,0,0,13,si
30668299462,COMPAÑIA DE INSUMOS Y GRANOS S A,3,0,0,8,si
30671542343,LANGE AGROPECUARIA SOCIEDAD ANONIMA,3,0,1,13,si
30672112148,LOS HAROLDOS SOCIEDAD ANONIMA,3,5,2,20,si
30707100806,AGROPECUARIA LAS MARIAS SA,3,0,0,8,si
30707174702,C C MEDICAL S SOCIEDAD ANONIMA,3,5,0,23,si
30707211942,ROLCAR S A,3,0,0,10,si
30707530169,M Y M NET S R L,3,0,0,11,si
30707810927,COMPAÑIA TSB S A,3,18,0,22,si
30707912673,DEMAGRO SRL,3,0,0,4,si
30707923446,AGRO DE SOUZA S A,3,4,0,17,si
30708132337,NUEVAS TIERRAS S A,3,0,0,7,si
30708142693,AGRO BICIUFFA S R L,3,0,0,11,si
30708255102,AGROAVAL SGR,3,0,1,0,si
30708357363,UN TECHO PARA ARGENTINA ASOCIACION CIVIL,3,0,5,11,si
30708410051,CHAYE HNOS SRL,3,5,0,21,si
30708437103,AGROFIN AGROCOMMODITIES S A,3,7,3,23,si
30708442409,MAXIMIA SA,3,0,0,8,si
30708492384,TRANSPORTE PEDUZZI S A,3,0,0,7,si
30708603879,GOLDMUND S A,3,0,0,11,si
30709039020,SAN DIEGO SEMILLAS SA,3,0,0,13,si
30709159182,YACOPINI SUD SA,3,0,0,8,si
30709191930,CRE NOR SRL,3,0,0,10,si
30709921084,I A D SRL,3,13,8,7,si
30710099649,CENTRO TECNOLOGICO AGROPECUARIO S A,3,0,0,10,si
30710216874,INNOVAGRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,3,0,0,6,si
30710674570,ROAGRO NEGOCIOS S A,3,0,0,13,si
30710712758,AGRONASAJA SRL,3,0,0,12,si
30710855850,CLORONOR S A,3,0,0,9,si
30711336105,ECOFACTORY S R L,3,0,0,11,si
30711338787,PISCINAS PREMIUM S A,3,8,2,20,si
30711424195,PALLETS JAUREGUI SOCIEDAD ANONIMA,3,0,0,13,si
30711515808,CEREALERA PUNTANA S R L,3,4,10,6,si
30712012974,LISMAR SUR S A,3,1,1,18,si
30712129766,AGRONEA PRODUCCIONES S R L,3,0,0,8,si
30713302208,Campo de Avanzada S A,3,0,0,11,si
30713350407,BIAMAQ S R L,3,0,0,10,si
30714228346,FERRETERA CENTRAL JT S R L,3,0,0,8,si
30714487295,LABORATORIOS PEYTE S A,3,0,0,11,si
30714763225,CREATIVE PMO INTERNATIONAL SOCIEDAD ANONIMA,3,0,0,14,si
30714954071,LOS VALIENTES SOCIEDAD ANONIMA,3,0,0,8,si
30715060953,AVAL AR SGR,3,0,5,0,si
30715157299,GALERENT S A,3,0,0,9,si
30715237446,LABAC SOCIEDAD ANONIMA,3,0,0,13,si
30715445405,CENTRO DE REHABILITACION INTEGRAL LOS NOGALES SRL,3,0,0,11,si
30715857460,HATTRICK ENERGY SAS,3,1,0,14,si
30716155680,DARUMA PAGOS S A,3,0,0,13,si
30716713438,DROGUERIA CENTRAL S A S,3,0,0,15,si
30716855372,PROCESOS INDUSTRIALES METALLO SA,3,0,0,6,si
33657476639,MADERO HARBOUR S A,3,0,0,13,si
33708128649,ESTACION DE SERVICIOS 25 DE MAYO S R L,3,0,0,12,si
33708929579,ITALAR S R L,3,12,0,12,si
33711967589,BIO RAMALLO S A,3,1,0,17,si
33715043519,GESTION DE PRESTAMOS Y COBRANZAS S A,3,8,1,15,si
33717152749,MILKYNET S A,3,0,0,12,si
33718082639,PATAGONIA S G R,3,0,5,5,si
30543217936,PUBLICIDAD SARMIENTO S A,2,0,0,4,si
30567020734,INALPA INDUSTRIAS ALIMENTICIAS PAVON ARRIBA S A,2,0,0,7,si
30574564367,KLONAL S R L,2,0,0,8,si
30577108311,JUGOS S A,2,0,0,4,si
30619044084,RUSTICANA SACIFI,2,0,0,7,si
30650312690,HORWATH CONSULTING S A,2,2,16,5,si
30692138747,FARMCITY SA,2,0,4,21,si
30707012672,Navarro S A,2,0,0,8,si
30709697338,SAN ATANASIO ENERGIA S A,2,0,0,0,si
30710987218,Fraher Group S A,2,3,2,4,si
30714659339,XEITOSIÑO S A,2,9,2,16,si
30716620472,ALPARGATAS TEXTIL SOCIEDAD ANÓNIMA,2,24,4,20,si
33709180849,PILISAR SOCIEDAD ANONIMA,2,0,0,9,si
30504484455,ESTRUCTURAS SACICIYF,1,0,0,7,si
30536784183,TANTAL ARGENTINA S R L,1,0,0,4,si
30615501995,CALZETTA S A,1,1,3,5,si
30622977652,FRANKLIN BOGLICH S A,1,0,0,7,si
30634259569,ESTABLECIMIENTO DON AVELINO SRL,1,0,0,8,si
30657495081,GHIGGERI MOTOS S R L,1,0,1,0,si
30665605775,AGRICOLA NOROESTE S R L,1,13,0,9,si
30668239559,AGRO SERVICIOS S R L,1,0,0,6,si
30672812808,CEDISUR S A,1,0,0,8,si
30689001269,CFA COMPAÑÍA FIDUCIARIA AMERICANA S A,1,0,4,163,si
30690657585,PLUMADA S A,1,0,1,4,si
30700099780,El paso del Virrey S A,1,0,4,4,si
30707371087,METAGRO S R L,1,0,0,0,si
30708694173,LABORATORIO KEMEX SA,1,0,0,8,si
30708732725,METALURGICA SERGIO STRAPAZZON S R L,1,0,0,0,si
30708941766,AGROCOMERCIAL SUARDI SRL,1,0,0,4,si
30709023523,ALMACITY S A,1,0,0,6,si
30709243752,MAIOCCO CEREALES S A,1,0,0,5,si
30709247650,CIRUGIA ALEMANA INSUMOS MEDICOS SOCIEDAD ANONIMA,1,0,0,8,si
30710218192,PROCHEM BIO SA,1,0,0,7,si
30710686013,EL HINOJO S A,1,0,0,8,si
30710796188,CONCI S A,1,0,0,10,si
30711295956,GRUPO VUASA S A,1,0,0,0,si
30711726906,Agroinversiones S A,1,0,0,0,si
30712078797,GESTION INMOBILIARIA DEL NORTE S A,1,0,0,11,si
30714347159,TUX S A,1,0,0,7,si
30716908816,ACA VALORES S A,1,0,2,26,si
30718221516,BLM DESARROLLOS SA,1,0,0,4,si
30718244095,FONDO DE GARANTIA CATAMARCA S A P E M,1,0,11,6,si
33693298569,ARG DE GRAAF S A,1,0,4,17,si
33708285809,Fortecar S A,1,0,0,0,si
33708758529,CENTRO DESARROLLO AGRICOLA S A,1,0,0,13,si
33709972699,PHILAGRO S A,1,0,0,8,si
33710562879,GEVAL S A,1,0,0,8,si
33711557879,TR ARGENTINA SOCIEDAD ANONIMA,1,0,1,11,si
33715757929,DEPOSITO FISCAL CORDOBA S A,1,0,0,7,si
20309158955,GOMEZ MANCUSO JUAN PABLO,0,0,4,0,?
30501678321,VALENTIN BIANCHI S A C I F,0,0,0,10,?
30504051524,APACHE S A,0,0,0,0,?
30505839222,MATERIA HNOS SOCIEDAD ANONIMA COMERCIAL INDUSTRIAL,0,0,0,4,?
30521840486,AKRON S A,0,0,0,4,?
30551518694,DIAZ RIGANTI CEREALES S A,0,0,0,0,?
30554681383,ESTANCIA EL AZUL S A,0,0,0,10,?
30591435562,DOSAM S R L,0,0,0,0,?
30593773260,GATTO HERMANOS S R L,0,0,0,5,?
30642412899,MAQUINAS AGRICOLAS OMBU S A,0,0,0,0,?
30642554421,COLGAS S A,0,0,0,0,?
30643077090,ALDYL ARGENTINA SA,0,0,0,0,?
30651084241,PEDROLGA S A,0,0,0,0,?
30651671066,ARROWWS ARGENTINA SRL,0,0,0,4,?
30657047763,PLASTAR BUENOS AIRES SOCIEDAD ANONIMA,0,0,0,0,?
30678534214,ARBITRA S A S A,0,0,0,0,?
30685076248,TREFELT ARGENTINA S A,0,0,0,0,?
30688279867,SERVIPAIS SRL,0,0,0,0,?
30697218056,SINER S A,0,0,0,4,?
30700760681,CALERAS SAN JUAN S A,0,0,0,7,?
30704958818,HMSI S A,0,0,0,4,?
30707132724,MATESUR S A,0,0,0,11,?
30707304886,ARMORAUT SA,0,0,0,0,?
30707955267,MATIAS RUIZ Y CIA S A,0,0,0,0,?
30708029781,GRUPO ALIMENTICIO S A,0,0,0,8,?
30708361336,Southcross Logistics S A,0,0,4,4,?
30708432195,P S ANESTHESIA S A,0,0,0,0,?
